week_number,work_location,shift_time,department_group,actual_attendance,greykite_forecast,greykite_forecast_lower_95,greykite_forecast_upper_95,four_week_rolling_avg,six_week_rolling_avg,exponential_smoothing_alpha_2,exponential_smoothing_alpha_4,exponential_smoothing_alpha_6,exponential_smoothing_alpha_8,exponential_smoothing_alpha_1
2024-W01,AZ Phoenix,PM,Production,70.48,74.11479826307401,60.88219103828844,87.34740548785958,76.665624023,77.131782946,77.408917711,77.21894119,77.466716967,78.213993632,79.759862779
2024-W02,AZ Phoenix,PM,Production,78.79,76.17373334470562,63.23188404772413,89.11558264168713,77.289229528,77.448149121,77.431387636,77.295814848,77.622218563,78.430132654,79.166666667
2024-W03,AZ Phoenix,PM,Production,77.31,78.76914056079674,65.91105607970134,91.62722504189215,74.295932052,75.668036999,76.199335441,74.092211198,72.228822073,70.967209522,70.479134467
2024-W04,AZ Phoenix,PM,Production,79.2,79.81745876521023,67.09659001880047,92.53832751162,76.705780096,76.596770306,76.870802017,76.690167031,77.141782262,77.859104885,78.787878788
2024-W05,AZ Phoenix,PM,Production,81.46,78.45060273830458,65.70480721726449,91.19639825934468,76.304503217,76.105990783,76.984033668,76.998295385,77.256690204,77.411120148,77.314814815
2024-W06,AZ Phoenix,PM,Production,76.18,76.8311035057264,64.06617392318712,89.59603308826568,77.043941411,77.428180575,77.491899394,77.954332903,78.43881112,78.832751196,79.2039801
2024-W07,AZ Phoenix,PM,Production,80.07,76.798156033485,64.03483787494879,89.56147419202121,79.219858156,78.07106599,78.452580297,79.520168228,80.339740239,80.977194123,81.461675579
2024-W08,AZ Phoenix,PM,Production,80.93,76.31124210382804,63.57560649009611,89.04687771755997,78.601997147,77.739959156,77.969556804,78.187593719,77.911153331,77.212790395,76.176176176
2024-W09,AZ Phoenix,PM,Production,84.18,77.03038146264798,64.31433955521176,89.7464233700842,79.313609467,78.887484197,78.444628799,78.983489599,79.24273674,79.534476123,80.072793449
2024-W10,AZ Phoenix,PM,Production,82.92,77.39654961214377,64.68633803502328,90.10676118926426,79.737950398,79.242019185,78.974178844,79.767698057,80.248691682,80.64460765,80.929791271
2024-W11,AZ Phoenix,PM,Production,83.79,77.50654553629008,64.79776773885202,90.21532333372814,80.432737535,80.420128547,80.106920799,81.586567442,82.642889401,83.495205594,84.181818182
2024-W12,AZ Phoenix,PM,Production,81.11,78.40127499925272,65.68934287878105,91.1132071197244,82.013708343,80.998110831,80.655408374,82.093729884,82.804725488,83.048910401,82.924335378
2024-W13,AZ Phoenix,PM,Production,81.35,80.00672329383629,67.29706762740373,92.71637896026884,82.941322109,81.326380968,81.233072282,82.721466134,83.369267804,83.631903287,83.792723264
2024-W14,AZ Phoenix,PM,Production,80.21,80.7783643568705,68.06877699529629,93.4879517184447,83.059125964,82.144630151,81.209148196,82.10624793,82.038567306,81.619590068,81.104972376
2024-W15,AZ Phoenix,PM,Production,84.97,80.31081971341371,67.5993089725188,93.02233045430862,82.334912232,82.430785304,81.233506645,81.835375217,81.650704455,81.411020466,81.351689612
2024-W16,AZ Phoenix,PM,Production,80.95,80.40781049590205,67.69805151999027,93.11756947181384,81.678486998,82.405712193,81.057700096,81.238373247,80.817243885,80.459615811,80.20698577
2024-W17,AZ Phoenix,PM,Production,81.7,81.90640351061009,69.19176638538258,94.6210406358376,81.792363522,82.370399683,81.687075828,82.558229309,83.158786346,83.976700837,84.971098266
2024-W18,AZ Phoenix,PM,Production,81.56,82.52166556346708,69.81046531742625,95.23286580950791,81.79393131,82.041155685,81.557803443,81.940025883,81.836064175,81.540754209,80.952380952
2024-W19,AZ Phoenix,PM,Production,78.0,80.75780430351652,68.03957850429887,93.47603010273417,81.904414447,81.642294713,81.577693374,81.863209616,81.764986386,81.660244532,81.700554529
2024-W20,AZ Phoenix,PM,Production,83.72,79.47722581789584,66.71808606775981,92.23636556803187,82.31292517,81.744902798,81.575136417,81.742934478,81.639674617,81.580451538,81.563421829
2024-W21,AZ Phoenix,PM,Production,80.96,81.92759902105696,69.12857770502778,94.72662033708615,80.529953917,81.223887933,80.943209083,80.280811844,79.46168631,78.723264896,78.0
2024-W22,AZ Phoenix,PM,Production,83.86,83.13862029352593,70.38543879371352,95.89180179333835,81.142152835,81.792281792,81.39006645,81.52257611,81.867058892,82.599242555,83.716814159
2024-W23,AZ Phoenix,PM,Production,85.71,82.27224312606643,69.51131116264409,95.03317508948876,80.97636575,81.073373088,81.305233589,81.284244853,81.29292883,81.245711161,80.959302326
2024-W24,AZ Phoenix,PM,Production,79.63,82.3425654262638,67.77917317188854,96.90595768063906,81.479983825,81.527627302,81.7379512,82.234016275,82.748509021,83.268124122,83.859649123
2024-W25,AZ Phoenix,PM,Production,82.02,79.13530860718946,64.53167872986536,93.73893848451355,83.45085027,82.161005616,82.450813202,83.584445693,84.509916304,85.224139885,85.714285714
2024-W26,AZ Phoenix,PM,Production,82.18,82.7140006514328,68.86151985785618,96.56648144500942,82.392957183,81.82552504,81.889188016,81.932539398,81.473769703,80.660327352,79.632465544
2024-W27,AZ Phoenix,PM,Production,83.28,84.5702874426807,70.6661344448315,98.47444044052989,82.68921095,82.526090447,81.916074116,81.969426797,81.810718664,81.759468529,82.020802377
2024-W28,AZ Phoenix,PM,Production,80.4,81.44334937135493,68.66405924817634,94.22263949453351,82.301587302,82.292218105,81.965080403,82.04990472,82.024232855,82.087919434,82.178217822
2024-W29,AZ Phoenix,PM,Production,75.47,83.27093188193577,70.55416776737565,95.98769599649589,81.727707006,82.697547684,82.204659692,82.516684756,82.752203586,83.025955448,83.275862069
2024-W30,AZ Phoenix,PM,Production,83.0,83.95966072935809,71.24507451376816,96.67424694494802,81.962540717,82.147687314,81.861448752,81.681166825,81.343343241,80.920179473,80.40201005
2024-W31,AZ Phoenix,PM,Production,86.55,82.3767198920546,69.66338854583486,95.09005123827433,80.687471732,80.74639525,80.929489676,79.688398112,78.299915591,76.873864607,75.46728972
2024-W32,AZ Phoenix,PM,Production,80.17,81.43655027343387,68.7263214463993,94.14677910046844,80.750487329,81.266886821,81.260123207,80.87395424,81.000654582,81.741567131,82.997762864
2024-W33,AZ Phoenix,PM,Production,84.89,81.81445205796837,69.099387257791,94.52951685814574,81.511335013,81.961526332,82.246884933,83.181766773,84.455273875,85.685115502,86.549707602
2024-W34,AZ Phoenix,PM,Production,78.7,81.8656218229183,69.12610498669248,94.60513865914412,81.453252033,81.589825119,81.814076811,81.876281014,81.724358595,81.150449382,80.172413793
2024-W35,AZ Phoenix,PM,Production,79.12,82.45786643516539,69.64830382439847,95.2674290459323,83.594120436,81.876196554,82.439857584,83.125115384,83.652700849,84.143883012,84.885764499
2024-W36,AZ Phoenix,PM,Production,74.62,81.60002035478504,68.82030343119706,94.37973727837303,82.466367713,81.578099839,81.681274211,81.316648985,80.661920692,79.786546217,78.697183099
2024-W37,AZ Phoenix,PM,Production,83.77,80.33943659940536,67.62382369562684,93.05504950318388,80.718667835,81.955582973,81.164719386,80.427782568,79.733585987,79.249915088,79.115044248
2024-W38,AZ Phoenix,PM,Production,79.78,79.10496863021875,66.37365979536037,91.83627746507713,79.424977538,80.656824345,79.926126146,78.195435789,76.757289258,75.602552665,74.618320611
2024-W39,AZ Phoenix,PM,Production,82.37,79.41471601152338,66.68924337231581,92.14018865073095,78.988868275,80.211800303,80.632252218,80.306343944,80.828494142,82.048455123,83.76753507
2024-W40,AZ Phoenix,PM,Production,78.4,78.69967561246848,65.82180579822099,91.57754542671597,79.270004679,80.146609652,80.460565766,80.091172455,80.18455136,80.205736189,79.781420765
2024-W41,AZ Phoenix,PM,Production,79.22,76.32431203617182,63.1775658997616,89.47105817258203,80.0,79.606723755,80.785827084,80.905460357,81.398498219,81.865585393,82.366071429
2024-W42,AZ Phoenix,PM,Production,81.37,74.61474491886345,61.56137789008751,87.66811194763939,80.995024876,79.574056147,80.317548025,79.889291773,79.557862796,79.044678397,78.404669261
2024-W43,AZ Phoenix,PM,Production,82.72,76.28360513176618,62.34686292779845,90.22034733573392,79.853658537,79.596485519,80.092765779,79.611683214,79.349841871,79.187386283,79.220779221
