week_number,work_location,shift_time,department_group,actual_attendance,greykite_forecast,greykite_forecast_lower_95,greykite_forecast_upper_95,four_week_rolling_avg,six_week_rolling_avg,exponential_smoothing_alpha_2,exponential_smoothing_alpha_4,exponential_smoothing_alpha_6,exponential_smoothing_alpha_8,exponential_smoothing_alpha_1,four_week_rolling_avg_shift2
2024-W01,AZ Phoenix,AM,Production,71.63,64.41363306863187,55.569036857078245,73.25822928018549,79.298622294,81.237458194,80.924445834,79.919868792,79.383487756,79.499895659,80.382165605,79.4525
2024-W02,AZ Phoenix,AM,Production,76.59,62.9829091065817,53.04976499264342,72.91605322051998,78.800655891,80.442701037,80.674940578,79.161161941,77.542999505,74.543857815,56.71641791,73.69749999999999
2024-W03,AZ Phoenix,AM,Production,81.75,62.451498778405366,52.50509841526619,72.39789914154454,75.703942076,77.740475843,78.985226546,75.449947387,72.911136162,71.774554647,71.631799163,71.475
2024-W04,AZ Phoenix,AM,Production,82.44,62.401750942543515,52.50476666863379,72.29873521645324,75.456711676,77.078120656,78.379879883,76.069037461,75.630651407,75.978832264,76.589595376,71.33
2024-W05,AZ Phoenix,AM,Production,85.26,62.62961404334164,52.79314111285558,72.4660869738277,77.061376317,77.443197372,79.230817027,78.863358608,79.694663532,80.733999981,81.754195994,71.6725
2024-W06,AZ Phoenix,AM,Production,85.66,62.62140748484894,52.8427503007818,72.40006466891607,78.659200498,78.643043538,79.937885878,80.377648824,81.335677137,82.07503874,82.438141219,78.1025
2024-W07,AZ Phoenix,AM,Production,85.51,62.631098719806225,52.89548240854588,72.36671503106658,81.433796635,79.782635544,81.056799303,82.357226206,83.654389449,84.596074262,85.259212992,81.51
2024-W08,AZ Phoenix,AM,Production,84.01,62.599885864516715,52.90279333881108,72.29697839022235,83.617218953,80.795054886,81.893709632,83.558437531,84.768882879,85.416314449,85.661492979,83.7775
2024-W09,AZ Phoenix,AM,Production,83.36,62.383836556095154,52.67085626017638,72.09681685201393,84.666879184,82.70226373,82.682690959,84.390637193,85.234959252,85.492100099,85.508117859,84.7175
2024-W10,AZ Phoenix,AM,Production,83.27,62.39171265394557,52.68178875511663,72.10163655277451,85.107772698,84.004985459,82.94541947,84.240639055,84.513242075,84.321044907,84.00796284,85.11
2024-W11,AZ Phoenix,AM,Production,87.45,62.346382813077106,52.69962749537242,71.9931381307818,84.642438453,84.353667786,83.024447736,83.89962252,83.835808423,83.557717725,83.356353591,84.635
2024-W12,AZ Phoenix,AM,Production,83.21,62.27571274503859,52.69046451900681,71.86096097107037,84.095063985,84.539070338,83.071439723,83.65986289,83.506556644,83.332648023,83.273766976,84.0375
2024-W13,AZ Phoenix,AM,Production,84.73,61.98055174983913,52.38763189684894,71.57347160282933,84.420225121,84.825264136,83.829301529,85.031621761,85.736214697,86.539114908,87.449718423,84.52250000000001
2024-W14,AZ Phoenix,AM,Production,84.02,61.939366571558914,52.40530403097445,71.47342911214338,84.232745962,84.439545138,83.711011259,84.308216538,84.203215822,83.844076458,83.210603829,84.32249999999999
2024-W15,AZ Phoenix,AM,Production,79.51,61.86584565420175,52.38055659954766,71.35113470885584,84.591738713,84.264705882,83.889345718,84.464416119,84.505667745,84.537312086,84.730290456,84.66499999999999
2024-W16,AZ Phoenix,AM,Production,82.11,61.85928346999228,52.42715630806177,71.29141063192279,84.816650149,84.275215408,83.913216766,84.291703349,84.215849768,84.122513654,84.01937046,84.85249999999999
2024-W17,AZ Phoenix,AM,Production,80.17,61.98623494203568,52.54282270213398,71.42964718193737,82.846427161,83.666320706,83.077815254,82.390605386,81.377106542,80.416658792,79.509493671,82.8675
2024-W18,AZ Phoenix,AM,Production,83.06,62.055056157127154,52.63429780195469,71.47581451229962,82.561197653,83.483563097,82.894871743,82.278475191,81.810860296,81.762369942,82.105263158,82.5925
2024-W19,AZ Phoenix,AM,Production,85.16,62.173726506086304,52.71288693007601,71.6345660820966,81.449979749,82.295693907,82.387482758,81.457199898,80.838585015,80.49420822,80.166666667,81.4525
2024-W20,AZ Phoenix,AM,Production,84.88,62.26064018476258,52.809811321159486,71.71146904836567,81.203007519,82.253903598,82.51632245,82.094704652,82.173701126,82.552018985,83.060556465,81.2125
2024-W21,AZ Phoenix,AM,Production,82.67,62.333105430635705,52.91274726691286,71.75346359435855,82.604188265,82.30958231,83.008259338,83.283253775,83.934492901,84.621879676,85.162950257,82.625
